Pin;Pout;n
1.65164;1.58441;0.959295004
2.57232;2.47566;0.962423027
3.69598;3.56527;0.964634549
5.03242;4.85267;0.964281598
6.56456;6.33875;0.965601655
8.28735;8.02256;0.968048894
10.2219;9.90471;0.968969565
12.3739;11.9855;0.968611351
14.702;14.2638;0.970194531
17.2707;16.7405;0.969300607
20.0013;19.4145;0.970661907
22.9874;22.2876;0.969557236
26.1108;25.3596;0.971230296
29.5327;28.628;0.96936616
33.1795;32.0958;0.967338266
36.8683;35.7609;0.969963356
40.8319;39.6246;0.970432432
44.9774;43.6858;0.971283356
