Freq.;Voutdb;Voutrad
1.00000000000000e+00;4.76958961332012e-07;-7.78681399743139e-04
1.00230523807790e+00;4.79160503459088e-07;-7.80476452232144e-04
1.00461579027839e+00;4.81372205739232e-07;-7.82275642789455e-04
1.00693166885180e+00;4.83594120246114e-07;-7.84078980954534e-04
1.00925288607668e+00;4.85826287481479e-07;-7.85886476288961e-04
1.01157945425990e+00;4.88068757590344e-07;-7.87698138376228e-04
1.01391138573668e+00;4.90321582646382e-07;-7.89513976822143e-04
1.01624869287070e+00;4.92584801222680e-07;-7.91334001254329e-04
1.01859138805412e+00;4.94858473107530e-07;-7.93158221323073e-04
1.02093948370768e+00;4.97142633016711e-07;-7.94986646700425e-04
1.02329299228075e+00;4.99437338809860e-07;-7.96819287080950e-04
1.02565192625141e+00;5.01742636774683e-07;-7.98656152181674e-04
1.02801629812647e+00;5.04058573198887e-07;-8.00497251741939e-04
1.03038612044162e+00;5.06385202084800e-07;-8.02342595523397e-04
1.03276140576140e+00;5.08722569720129e-07;-8.04192193310364e-04
1.03514216667934e+00;5.11070726249889e-07;-8.06046054909717e-04
1.03752841581801e+00;5.13429719890443e-07;-8.07904190150845e-04
1.03992016582906e+00;5.15799604644117e-07;-8.09766608885848e-04
1.04231742939330e+00;5.18180426798618e-07;-8.11633320989537e-04
1.04472021922080e+00;5.20572236498961e-07;-8.13504336359636e-04
1.04712854805090e+00;5.22975089676127e-07;-8.15379664916374e-04
1.04954242865232e+00;5.25389032617824e-07;-8.17259316603097e-04
1.05196187382322e+00;5.27814115469066e-07;-8.19143301386055e-04
1.05438689639126e+00;5.30250396089490e-07;-8.21031629254360e-04
1.05681750921366e+00;5.32697920766800e-07;-8.22924310220133e-04
1.05925372517729e+00;5.35156743503323e-07;-8.24821354318853e-04
1.06169555719872e+00;5.37626912515419e-07;-8.26722771608809e-04
1.06414301822431e+00;5.40108483734068e-07;-8.28628572171646e-04
1.06659612123026e+00;5.42601511161595e-07;-8.30538766112268e-04
1.06905487922266e+00;5.45106044943015e-07;-8.32453363558736e-04
1.07151930523761e+00;5.47622139080653e-07;-8.34372374662668e-04
1.07398941234124e+00;5.50149847576834e-07;-8.36295809598840e-04
1.07646521362983e+00;5.52689222505227e-07;-8.38223678565833e-04
1.07894672222983e+00;5.55240319796813e-07;-8.40155991785235e-04
1.08143395129794e+00;5.57803193453914e-07;-8.42092759502591e-04
1.08392691402120e+00;5.60377895550200e-07;-8.44033991987196e-04
1.08642562361706e+00;5.62964482016651e-07;-8.45979699531558e-04
1.08893009333343e+00;5.65563006855590e-07;-8.47929892452184e-04
1.09144033644876e+00;5.68173525997996e-07;-8.49884581089338e-04
1.09395636627209e+00;5.70796095374848e-07;-8.51843775807187e-04
1.09647819614318e+00;5.73430770917124e-07;-8.53807486993504e-04
1.09900583943252e+00;5.76077604698492e-07;-8.55775725060511e-04
1.10153930954141e+00;5.78736658435896e-07;-8.57748500444087e-04
1.10407861990207e+00;5.81407986131659e-07;-8.59725823604063e-04
1.10662378397766e+00;5.84091639859449e-07;-8.61707705024771e-04
1.10917481526240e+00;5.86787685193517e-07;-8.63694155214298e-04
1.11173172728159e+00;5.89496174207533e-07;-8.65685184705429e-04
1.11429453359173e+00;5.92217164761128e-07;-8.67680804054704e-04
1.11686324778056e+00;5.94950712785280e-07;-8.69681023843361e-04
1.11943788346715e+00;5.97696878068276e-07;-8.71685854676990e-04
1.12201845430196e+00;6.00455724255712e-07;-8.73695307185532e-04
1.12460497396692e+00;6.03227301492602e-07;-8.75709392023427e-04
1.12719745617551e+00;6.06011669567231e-07;-8.77728119869866e-04
1.12979591467280e+00;6.08808892125195e-07;-8.79751501428338e-04
1.13240036323556e+00;6.11619023168817e-07;-8.81779547427431e-04
1.13501081567231e+00;6.14442130201002e-07;-8.83812268620033e-04
1.13762728582343e+00;6.17278265295416e-07;-8.85849675784178e-04
1.14024978756117e+00;6.20127490169001e-07;-8.87891779722550e-04
1.14287833478977e+00;6.22989868467352e-07;-8.89938591262731e-04
1.14551294144553e+00;6.25865456121445e-07;-8.91990121257397e-04
1.14815362149688e+00;6.28754320634183e-07;-8.94046380584026e-04
1.15080038894443e+00;6.31656519865199e-07;-8.96107380145487e-04
1.15345325782109e+00;6.34572111674123e-07;-8.98173130869548e-04
1.15611224219210e+00;6.37501161635203e-07;-9.00243643709372e-04
1.15877735615512e+00;6.40443731465379e-07;-9.02318929642872e-04
1.16144861384034e+00;6.43399886738901e-07;-9.04398999674096e-04
1.16412602941049e+00;6.46369685315399e-07;-9.06483864831748e-04
1.16680961706096e+00;6.49353190840466e-07;-9.08573536170218e-04
1.16949939101987e+00;6.52350466959696e-07;-9.10668024769545e-04
1.17219536554813e+00;6.55361581175993e-07;-9.12767341735009e-04
1.17489755493953e+00;6.58386591348986e-07;-9.14871498197635e-04
1.17760597352080e+00;6.61425564981578e-07;-9.16980505314239e-04
1.18032063565173e+00;6.64478565719362e-07;-9.19094374267131e-04
1.18304155572516e+00;6.67545659136586e-07;-9.21213116264515e-04
1.18576874816716e+00;6.70626908878843e-07;-9.23336742540482e-04
1.18850222743702e+00;6.73722380520380e-07;-9.25465264354819e-04
1.19124200802737e+00;6.76832139635446e-07;-9.27598692993602e-04
1.19398810446427e+00;6.79956253726942e-07;-9.29737039768748e-04
1.19674053130724e+00;6.83094790297769e-07;-9.31880316018114e-04
1.19949930314938e+00;6.86247811064866e-07;-9.34028533105849e-04
1.20226443461741e+00;6.89415385459788e-07;-9.36181702422489e-04
1.20503594037179e+00;6.92597582914091e-07;-9.38339835384412e-04
1.20781383510678e+00;6.95794467073369e-07;-9.40502943434581e-04
