Freq;Voutdb;Voutrad
1.00000000000000e+00;2.40619504929691e-07;-5.43708071478573e-03
1.00230523807790e+00;2.41730277063128e-07;-5.44961448369618e-03
1.00461579027839e+00;2.42846179418402e-07;-5.46217714586210e-03
1.00693166885180e+00;2.43966957413066e-07;-5.47476876787570e-03
1.00925288607668e+00;2.45092965919616e-07;-5.48738941685333e-03
1.01157945425990e+00;2.46224338015238e-07;-5.50003915912158e-03
1.01391138573668e+00;2.47360718827431e-07;-5.51271806211367e-03
1.01624869287070e+00;2.48502650308213e-07;-5.52542619322106e-03
1.01859138805412e+00;2.49649656079829e-07;-5.53816361963607e-03
1.02093948370768e+00;2.50801873076772e-07;-5.55093040859256e-03
1.02329299228075e+00;2.51959631099024e-07;-5.56372662852979e-03
1.02565192625141e+00;2.53122652420282e-07;-5.57655234638012e-03
1.02801629812647e+00;2.54291058545799e-07;-5.58940763085831e-03
1.03038612044162e+00;2.55464868762122e-07;-5.60229254958891e-03
1.03276140576140e+00;2.56644000137090e-07;-5.61520717141645e-03
1.03514216667934e+00;2.57828562604028e-07;-5.62815156443069e-03
1.03752841581801e+00;2.59018563877554e-07;-5.64112579744866e-03
1.03992016582906e+00;2.60214115819648e-07;-5.65412993911976e-03
1.04231742939330e+00;2.61415216501653e-07;-5.66716405841915e-03
1.04472021922080e+00;2.62621865923567e-07;-5.68022822440227e-03
1.04712854805090e+00;2.63834162446786e-07;-5.69332250654288e-03
1.04954242865232e+00;2.65051797486528e-07;-5.70644697432615e-03
1.05196187382322e+00;2.66275359282526e-07;-5.71960169699110e-03
1.05438689639126e+00;2.67504242237149e-07;-5.73278674446282e-03
1.05681750921366e+00;2.68739117522290e-07;-5.74600218659399e-03
1.05925372517729e+00;2.69979574334458e-07;-5.75924809351100e-03
1.06169555719872e+00;2.71225780466625e-07;-5.77252453544598e-03
1.06414301822431e+00;2.72477624056805e-07;-5.78583158291361e-03
1.06659612123026e+00;2.73735458048839e-07;-5.79916930628691e-03
1.06905487922266e+00;2.74998860067306e-07;-5.81253777607078e-03
1.07151930523761e+00;2.76268194627975e-07;-5.82593706362063e-03
1.07398941234124e+00;2.77543309367109e-07;-5.83936723944358e-03
1.07646521362983e+00;2.78824372077678e-07;-5.85282837532218e-03
1.07894672222983e+00;2.80111429047397e-07;-5.86632054218577e-03
1.08143395129794e+00;2.81404437845855e-07;-5.87984381209381e-03
1.08392691402120e+00;2.82703332898786e-07;-5.89339825592558e-03
1.08642562361706e+00;2.84008264641266e-07;-5.90698394635487e-03
1.08893009333343e+00;2.85319271646389e-07;-5.92060095488297e-03
1.09144033644876e+00;2.86636087759781e-07;-5.93424935375181e-03
1.09395636627209e+00;2.87959040852767e-07;-5.94792921567714e-03
1.09647819614318e+00;2.89288472297257e-07;-5.96164061304189e-03
1.09900583943252e+00;2.90623591344750e-07;-5.97538361832118e-03
1.10153930954141e+00;2.91965030594041e-07;-5.98915830456051e-03
1.10407861990207e+00;2.93312703255659e-07;-6.00296474465161e-03
1.10662378397766e+00;2.94666618972874e-07;-6.01680301198808e-03
1.10917481526240e+00;2.96026600309436e-07;-6.03067317990431e-03
1.11173172728159e+00;2.97393142929642e-07;-6.04457532198496e-03
1.11429453359173e+00;2.98765853387898e-07;-6.05850951160688e-03
1.11686324778056e+00;3.00144835831563e-07;-6.07247582298805e-03
1.11943788346715e+00;3.01530273482845e-07;-6.08647432996434e-03
1.12201845430196e+00;3.02921969618947e-07;-6.10050510698698e-03
1.12460497396692e+00;3.04320211609438e-07;-6.11456822853750e-03
1.12719745617551e+00;3.05724982096424e-07;-6.12866376865099e-03
1.12979591467280e+00;3.07136261793352e-07;-6.14279180256389e-03
1.13240036323556e+00;3.08553626396148e-07;-6.15695240489850e-03
1.13501081567231e+00;3.09978051804170e-07;-6.17114565073605e-03
1.13762728582343e+00;3.11408907347276e-07;-6.18537161564452e-03
1.14024978756117e+00;3.12846158309674e-07;-6.19963037457662e-03
1.14287833478977e+00;3.14290263711218e-07;-6.21392200354966e-03
1.14551294144553e+00;3.15740884108649e-07;-6.22824657815047e-03
1.14815362149688e+00;3.17198370517150e-07;-6.24260417420560e-03
1.15080038894443e+00;3.18662375778840e-07;-6.25699486795087e-03
1.15345325782109e+00;3.20133349270300e-07;-6.27141873586114e-03
1.15611224219210e+00;3.21611028694465e-07;-6.28587585434000e-03
1.15877735615512e+00;3.23095450695774e-07;-6.30036629987524e-03
1.16144861384034e+00;3.24586752208719e-07;-6.31489014912625e-03
1.16412602941049e+00;3.26084865730375e-07;-6.32944747960044e-03
1.16680961706096e+00;3.27590113346102e-07;-6.34403836807294e-03
1.16949939101987e+00;3.29102118968198e-07;-6.35866289217656e-03
1.17219536554813e+00;3.30621303043418e-07;-6.37332112931284e-03
1.17489755493953e+00;3.32147275983477e-07;-6.38801315724836e-03
1.17760597352080e+00;3.33680448591857e-07;-6.40273905370341e-03
1.18032063565173e+00;3.35220734079085e-07;-6.41749889700804e-03
1.18304155572516e+00;3.36767820003070e-07;-6.43229276529837e-03
1.18576874816716e+00;3.38322313890089e-07;-6.44712073691539e-03
1.18850222743702e+00;3.39884107735466e-07;-6.46198289074309e-03
1.19124200802737e+00;3.41452993244473e-07;-6.47687930531535e-03
1.19398810446427e+00;3.43028947273247e-07;-6.49181005971742e-03
1.19674053130724e+00;3.44612457771463e-07;-6.50677523301441e-03
1.19949930314938e+00;3.46203000144997e-07;-6.52177490467272e-03
1.20226443461741e+00;3.47800846334178e-07;-6.53680915430761e-03
1.20503594037179e+00;3.49406465002133e-07;-6.55187806136085e-03
1.20781383510678e+00;3.51019017183996e-07;-6.56698170594338e-03
1.21059813355048e+00;3.52639366917137e-07;-6.58212016799042e-03
1.21338885046497e+00;3.54267068682281e-07;-6.59729352794697e-03
1.21618600064636e+00;3.55902265199883e-07;-6.61250186609478e-03
1.21898959892486e+00;3.57544910182222e-07;-6.62774526298683e-03
1.22179966016487e+00;3.59195651657325e-07;-6.64302380009009e-03
1.22461619926504e+00;3.60853415364434e-07;-6.65833755750694e-03
1.22743923115840e+00;3.62519040268406e-07;-6.67368661675836e-03
1.23026877081238e+00;3.64192152210194e-07;-6.68907105939539e-03
1.23310483322890e+00;3.65873478292675e-07;-6.70449096701037e-03
1.23594743344451e+00;3.67562031044559e-07;-6.71994642082578e-03
1.23879658653036e+00;3.69258740077479e-07;-6.73543750358006e-03
1.24165230759241e+00;3.70963102012517e-07;-6.75096429683548e-03
1.24451461177138e+00;3.72675531510458e-07;-6.76652688327107e-03
1.24738351424294e+00;3.74395725772488e-07;-6.78212534488979e-03
1.25025903021771e+00;3.76123576793931e-07;-6.79775976473666e-03
1.25314117494141e+00;3.77859790462455e-07;-6.81343022600396e-03
1.25602996369487e+00;3.79603944402645e-07;-6.82913681130204e-03
1.25892541179416e+00;3.81356123475310e-07;-6.84487960413334e-03
1.26182753459066e+00;3.83116406755292e-07;-6.86065868775106e-03
1.26473634747115e+00;3.84884767241420e-07;-6.87647414607354e-03
1.26765186585784e+00;3.86661471088056e-07;-6.89232606301569e-03
1.27057410520854e+00;3.88446282999306e-07;-6.90821452201158e-03
1.27350308101666e+00;3.90239268549428e-07;-6.92413960815852e-03
1.27643880881134e+00;3.92040470168824e-07;-6.94010140525231e-03
1.27938130415752e+00;3.93849853141702e-07;-6.95609999793348e-03
1.28233058265602e+00;3.95667951705448e-07;-6.97213547161085e-03
1.28528665994361e+00;3.97494202692844e-07;-6.98820791065891e-03
1.28824955169313e+00;3.99328949404445e-07;-7.00431740063434e-03
1.29121927361353e+00;4.01172120480017e-07;-7.02046402689373e-03
1.29419584144998e+00;4.03023931928897e-07;-7.03664787507948e-03
1.29717927098395e+00;4.04884217886764e-07;-7.05286903080464e-03
1.30016957803328e+00;4.06752980282266e-07;-7.06912758031576e-03
1.30316677845229e+00;4.08630440910706e-07;-7.08542360958295e-03
1.30617088813183e+00;4.10516694276164e-07;-7.10175720513095e-03
1.30918192299940e+00;4.12411750021909e-07;-7.11812845372295e-03
1.31219989901920e+00;4.14315195415799e-07;-7.13453744194784e-03
1.31522483219223e+00;4.16227526122124e-07;-7.15098425671047e-03
1.31825673855640e+00;4.18148726711638e-07;-7.16746898557731e-03
1.32129563418657e+00;4.20078970763270e-07;-7.18399171570610e-03
1.32434153519466e+00;4.22017735611555e-07;-7.20055253426619e-03
1.32739445772973e+00;4.23965893008472e-07;-7.21715152999205e-03
1.33045441797808e+00;4.25922806497919e-07;-7.23378879033394e-03
1.33352143216332e+00;4.27888728733675e-07;-7.25046440332421e-03
1.33659551654643e+00;4.29863721432686e-07;-7.26717845777782e-03
1.33967668742593e+00;4.31847728663958e-07;-7.28393104210974e-03
1.34276496113786e+00;4.33841194018096e-07;-7.30072224536726e-03
1.34586035405594e+00;4.35843756836640e-07;-7.31755215637373e-03
1.34896288259164e+00;4.37855343830699e-07;-7.33442086417260e-03
1.35207256319427e+00;4.39876388947605e-07;-7.35132845859130e-03
1.35518941235103e+00;4.41907011763952e-07;-7.36827502901879e-03
1.35831344658715e+00;4.43946624040007e-07;-7.38526066548293e-03
1.36144468246594e+00;4.45995941306709e-07;-7.40228545774091e-03
1.36458313658892e+00;4.48054361823742e-07;-7.41934949636164e-03
1.36772882559584e+00;4.50122390898665e-07;-7.43645287182100e-03
1.37088176616484e+00;4.52200425834369e-07;-7.45359567483072e-03
1.37404197501251e+00;4.54287542805180e-07;-7.47077799578880e-03
1.37720946889394e+00;4.56384335836781e-07;-7.48799992631920e-03
1.38038426460288e+00;4.58490878218048e-07;-7.50526155747922e-03
1.38356637897177e+00;4.60607341599253e-07;-7.52256298100528e-03
1.38675582887188e+00;4.62733290104399e-07;-7.53990428815656e-03
1.38995263121334e+00;4.64869184681982e-07;-7.55728557153197e-03
1.39315680294529e+00;4.67015081262986e-07;-7.57470692293313e-03
1.39636836105593e+00;4.69170731050929e-07;-7.59216843494905e-03
1.39958732257261e+00;4.71336168761591e-07;-7.60967019911420e-03
1.40281370456195e+00;4.73511936346972e-07;-7.62721231023708e-03
1.40604752412990e+00;4.75697470639854e-07;-7.64479485945727e-03
1.40928879842186e+00;4.77893288519724e-07;-7.66241794101680e-03
1.41253754462274e+00;4.80099011970228e-07;-7.68008164782322e-03
1.41579377995707e+00;4.82314955362095e-07;-7.69778607357149e-03
1.41905752168908e+00;4.84541425351434e-07;-7.71553131260815e-03
1.42232878712281e+00;4.86777723765191e-07;-7.73331745845624e-03
1.42560759360218e+00;4.89024649066455e-07;-7.75114460609581e-03
1.42889395851109e+00;4.91281884955827e-07;-7.76901284920500e-03
1.43218789927353e+00;4.93549724588832e-07;-7.78692228327029e-03
1.43548943335364e+00;4.95827535366680e-07;-7.80487300264054e-03
1.43879857825583e+00;4.98116395407409e-07;-7.82286510265596e-03
1.44211535152486e+00;5.00415469603472e-07;-7.84089867918726e-03
1.44543977074592e+00;5.02725213117399e-07;-7.85897382712847e-03
