Freq;Voutdb;Voutrad
1.00000000000000e+00;8.53293119933217e-08;-2.34648000563577e-03
1.00230523807790e+00;8.57231259688899e-08;-2.35188920086955e-03
1.00461579027839e+00;8.61187605946791e-08;-2.35731086525290e-03
1.00693166885180e+00;8.65163180893994e-08;-2.36274502801926e-03
1.00925288607668e+00;8.69157116635795e-08;-2.36819171798857e-03
1.01157945425990e+00;8.73170493218942e-08;-2.37365096373575e-03
1.01391138573668e+00;8.77199395473959e-08;-2.37912279416685e-03
1.01624869287070e+00;8.81248876476716e-08;-2.38460723867431e-03
1.01859138805412e+00;8.85317084718494e-08;-2.39010432632468e-03
1.02093948370768e+00;8.89403055871834e-08;-2.39561408569442e-03
1.02329299228075e+00;8.93508911457137e-08;-2.40113654658459e-03
1.02565192625141e+00;8.97632703532939e-08;-2.40667173814396e-03
1.02801629812647e+00;9.01776515046542e-08;-2.41221968943840e-03
1.03038612044162e+00;9.05939478103234e-08;-2.41778043018827e-03
1.03276140576140e+00;9.10119664048099e-08;-2.42335398970518e-03
1.03514216667934e+00;9.14321123056450e-08;-2.42894039779103e-03
1.03752841581801e+00;9.18541000719015e-08;-2.43453968359220e-03
1.03992016582906e+00;9.22781341409997e-08;-2.44015187715638e-03
1.04231742939330e+00;9.27040274334130e-08;-2.44577700803946e-03
1.04472021922080e+00;9.31318860251611e-08;-2.45141510645276e-03
1.04712854805090e+00;9.35616211981178e-08;-2.45706620178697e-03
1.04954242865232e+00;9.39936379698145e-08;-2.46273032458077e-03
1.05196187382322e+00;9.44274503192129e-08;-2.46840750422472e-03
1.05438689639126e+00;9.48633668310986e-08;-2.47409777133812e-03
1.05681750921366e+00;9.53014916528366e-08;-2.47980115596705e-03
1.05925372517729e+00;9.57411420405878e-08;-2.48551768791392e-03
1.06169555719872e+00;9.61832206048507e-08;-2.49124739787640e-03
1.06414301822431e+00;9.66271410345316e-08;-2.49699031631070e-03
1.06659612123026e+00;9.70731096957060e-08;-2.50274647350719e-03
1.06905487922266e+00;9.75212384503583e-08;-2.50851590008431e-03
1.07151930523761e+00;9.79712322142867e-08;-2.51429862616946e-03
1.07398941234124e+00;9.84235056482970e-08;-2.52009468327998e-03
1.07646521362983e+00;9.88778678155524e-08;-2.52590410170456e-03
1.07894672222983e+00;9.93343283593273e-08;-2.53172691198176e-03
1.08143395129794e+00;9.97925941240749e-08;-2.53756314521844e-03
1.08392691402120e+00;1.00253378712112e-07;-2.54341283252253e-03
1.08642562361706e+00;1.00715885588960e-07;-2.54927600459363e-03
1.08893009333343e+00;1.01180832214245e-07;-2.55515269278474e-03
1.09144033644876e+00;1.01648023793821e-07;-2.56104292820193e-03
1.09395636627209e+00;1.02117169100796e-07;-2.56694674179240e-03
1.09647819614318e+00;1.02588482215865e-07;-2.57286416531452e-03
1.09900583943252e+00;1.03061970853648e-07;-2.57879522963334e-03
1.10153930954141e+00;1.03537847166183e-07;-2.58473996667167e-03
1.10407861990207e+00;1.04015519056413e-07;-2.59069840761929e-03
1.10662378397766e+00;1.04495698198000e-07;-2.59667058439995e-03
1.10917481526240e+00;1.04977991145342e-07;-2.60265652820427e-03
1.11173172728159e+00;1.05462712269188e-07;-2.60865627128078e-03
1.11429453359173e+00;1.05949470052591e-07;-2.61466984506597e-03
1.11686324778056e+00;1.06438374428882e-07;-2.62069728148579e-03
1.11943788346715e+00;1.06929834272900e-07;-2.62673861270421e-03
1.12201845430196e+00;1.07423267130862e-07;-2.63279387056872e-03
1.12460497396692e+00;1.07919172524390e-07;-2.63886308732712e-03
1.12719745617551e+00;1.08417172437120e-07;-2.64494629498664e-03
1.12979591467280e+00;1.08917673815239e-07;-2.65104352620694e-03
1.13240036323556e+00;1.09420674730091e-07;-2.65715481258268e-03
1.13501081567231e+00;1.09925505938422e-07;-2.66328018694000e-03
1.13762728582343e+00;1.10432865613309e-07;-2.66941968201847e-03
1.14024978756117e+00;1.10942668893936e-07;-2.67557332990364e-03
1.14287833478977e+00;1.11454823204865e-07;-2.68174116366611e-03
1.14551294144553e+00;1.11969243685282e-07;-2.68792321538985e-03
1.14815362149688e+00;1.12486038339860e-07;-2.69411951830754e-03
1.15080038894443e+00;1.13005317101929e-07;-2.70033010532381e-03
1.15345325782109e+00;1.13526696169162e-07;-2.70655500909647e-03
1.15611224219210e+00;1.14050877571944e-07;-2.71279426285600e-03
1.15877735615512e+00;1.14577485222569e-07;-2.71904789966971e-03
1.16144861384034e+00;1.15106318540924e-07;-2.72531595236152e-03
1.16412602941049e+00;1.15637392956251e-07;-2.73159845448816e-03
1.16680961706096e+00;1.16171125058007e-07;-2.73789543919624e-03
1.16949939101987e+00;1.16707514846192e-07;-2.74420694004490e-03
1.17219536554813e+00;1.17246084014389e-07;-2.75053299042869e-03
1.17489755493953e+00;1.17787339798838e-07;-2.75687362398516e-03
1.17760597352080e+00;1.18331091262703e-07;-2.76322887410816e-03
1.18032063565173e+00;1.18877255473822e-07;-2.76959877460028e-03
1.18304155572516e+00;1.19425940436870e-07;-2.77598335893767e-03
1.18576874816716e+00;1.19977057433720e-07;-2.78238266165732e-03
1.18850222743702e+00;1.20530918906466e-07;-2.78879671606942e-03
1.19124200802737e+00;1.21087339704238e-07;-2.79522555663188e-03
1.19398810446427e+00;1.21646125032890e-07;-2.80166921690061e-03
1.19674053130724e+00;1.22207892061990e-07;-2.80812773165706e-03
1.19949930314938e+00;1.22771851971681e-07;-2.81460113486725e-03
1.20226443461741e+00;1.23338515855514e-07;-2.82108946041456e-03
1.20503594037179e+00;1.23907694705307e-07;-2.82759274324623e-03
1.20781383510678e+00;1.24479702891808e-07;-2.83411101773256e-03
1.21059813355048e+00;1.25054349478183e-07;-2.84064431849507e-03
1.21338885046497e+00;1.25631649893669e-07;-2.84719268006919e-03
1.21618600064636e+00;1.26211316768685e-07;-2.85375613691041e-03
1.21898959892486e+00;1.26793959558181e-07;-2.86033472437253e-03
1.22179966016487e+00;1.27379190602520e-07;-2.86692847699323e-03
1.22461619926504e+00;1.27967125620996e-07;-2.87353742971585e-03
1.22743923115840e+00;1.28557870689629e-07;-2.88016161756757e-03
1.23026877081238e+00;1.29151246443510e-07;-2.88680107598574e-03
1.23310483322890e+00;1.29747358958661e-07;-2.89345583974927e-03
1.23594743344451e+00;1.30346323954373e-07;-2.90012594437705e-03
1.23879658653036e+00;1.30947755699667e-07;-2.90681142505812e-03
1.24165230759241e+00;1.31552362010891e-07;-2.91351231771867e-03
1.24451461177138e+00;1.32159458215553e-07;-2.92022865713894e-03
1.24738351424294e+00;1.32769659554568e-07;-2.92696047940794e-03
1.25025903021771e+00;1.33382377788189e-07;-2.93370782028857e-03
1.25314117494141e+00;1.33998124009965e-07;-2.94047071537728e-03
1.25602996369487e+00;1.34616711140370e-07;-2.94724920051776e-03
1.25892541179416e+00;1.35238054318588e-07;-2.95404331155370e-03
1.26182753459066e+00;1.35862066755146e-07;-2.96085308457546e-03
1.26473634747115e+00;1.36489062820795e-07;-2.96767855599444e-03
