time;V(in);V(n);V(n.p);V(p)
0.000000000000000e+00;3.000000e+00;3.999902e+00;2.999910e+00;9.999911e-01
7.142856940843349e-11;2.999986e+00;3.999902e+00;2.999911e+00;9.999910e-01
1.428571388168670e-10;2.999971e+00;3.999902e+00;2.999911e+00;9.999909e-01
2.142857082253005e-10;2.999957e+00;3.999902e+00;2.999911e+00;9.999907e-01
2.857142776337340e-10;2.999943e+00;3.999902e+00;2.999911e+00;9.999905e-01
3.571428470421675e-10;2.999929e+00;3.999901e+00;2.999911e+00;9.999903e-01
4.285714164506010e-10;2.999914e+00;3.999901e+00;2.999911e+00;9.999900e-01
4.999999858590343e-10;2.999900e+00;3.999901e+00;2.999912e+00;9.999896e-01
9.999999717180685e-10;2.999800e+00;3.999901e+00;2.999913e+00;9.999877e-01
1.999999943436137e-09;2.999600e+00;3.999898e+00;2.999913e+00;9.999855e-01
3.999999886872274e-09;2.999200e+00;3.999883e+00;2.999891e+00;9.999921e-01
6.473136670236326e-09;2.998705e+00;3.999833e+00;2.999802e+00;1.000031e+00
9.245373978557217e-09;2.998151e+00;3.999724e+00;2.999595e+00;1.000129e+00
1.190505582469980e-08;2.997619e+00;3.999555e+00;2.999266e+00;1.000289e+00
1.479041208821527e-08;2.997042e+00;3.999303e+00;2.998772e+00;1.000532e+00
1.750338569810831e-08;2.996499e+00;3.999012e+00;2.998196e+00;1.000816e+00
2.143071615469945e-08;2.995714e+00;3.998536e+00;2.997253e+00;1.001282e+00
3.125002318491820e-08;2.993750e+00;3.997321e+00;2.994839e+00;1.002482e+00
3.588294845613198e-08;2.992823e+00;3.996794e+00;2.993788e+00;1.003006e+00
4.115539324369086e-08;2.991769e+00;3.996234e+00;2.992671e+00;1.003563e+00
4.846886567583311e-08;2.990306e+00;3.995486e+00;2.991177e+00;1.004309e+00
7.358230076511855e-08;2.985284e+00;3.992900e+00;2.986005e+00;1.006895e+00
8.804498787013237e-08;2.982391e+00;3.991419e+00;2.983042e+00;1.008378e+00
1.035722052076728e-07;2.979285e+00;3.989844e+00;2.979890e+00;1.009954e+00
1.251628180765954e-07;2.974967e+00;3.987664e+00;2.975529e+00;1.012135e+00
1.497480935672615e-07;2.970050e+00;3.985191e+00;2.970582e+00;1.014610e+00
1.935187378318952e-07;2.961296e+00;3.980803e+00;2.961803e+00;1.018999e+00
3.014379176335516e-07;2.939713e+00;3.970004e+00;2.940204e+00;1.029799e+00
9.587101794001873e-07;2.808258e+00;3.904272e+00;2.808752e+00;1.095520e+00
1.615982441166823e-06;2.676804e+00;3.838540e+00;2.677300e+00;1.161240e+00
2.273254702933458e-06;2.545349e+00;3.772806e+00;2.545849e+00;1.226957e+00
2.930526964700094e-06;2.413895e+00;3.707071e+00;2.414399e+00;1.292672e+00
3.587799226466730e-06;2.282440e+00;3.641335e+00;2.282950e+00;1.358385e+00
4.245071488233365e-06;2.150986e+00;3.575597e+00;2.151502e+00;1.424096e+00
4.902343749999999e-06;2.019531e+00;3.509858e+00;2.020054e+00;1.489804e+00
5.000000000000000e-06;2.000000e+00;3.500091e+00;2.000524e+00;1.499568e+00
5.000270924614278e-06;2.000054e+00;3.500064e+00;2.000468e+00;1.499597e+00
5.000812773842835e-06;2.000163e+00;3.500011e+00;2.000354e+00;1.499657e+00
5.001896472299950e-06;2.000379e+00;3.499907e+00;2.000131e+00;1.499776e+00
5.003523772616559e-06;2.000705e+00;3.499762e+00;1.999819e+00;1.499943e+00
